participant,condition,mean_omega,median_omega
860,regret_late,1.0640429258346558,0.9717420935630798
835,regret_late,0.025452131405472755,0.015745818614959717
753,regret_late,0.11068041622638702,0.08622892200946808
833,regret_late,0.22323904931545258,0.1647835373878479
841,regret_late,0.019336747005581856,0.015145602636039257
806,regret_late,1.6762365102767944,1.5942208766937256
811,regret_late,0.05441354960203171,0.038474053144454956
823,regret_late,0.021012816578149796,0.0166761614382267
764,regret_late,0.11367537081241608,0.08271904289722443
863,regret_late,0.019010083749890327,0.013037964701652527
780,regret_late,0.33704355359077454,0.2892894744873047
770,regret_late,2.2833123207092285,2.265427350997925
795,regret_late,0.021620383486151695,0.016533661633729935
813,regret_late,0.02140185981988907,0.014040919952094555
758,regret_late,0.9385012984275818,0.8865798711776733
786,regret_late,0.06403657048940659,0.04688749462366104
831,regret_late,0.016884278506040573,0.013766137883067131
800,regret_late,0.026038888841867447,0.017977913841605186
762,regret_late,0.08457639813423157,0.0635838583111763
815,regret_late,0.006966287735849619,0.005575710441917181
875,regret_late,0.026592660695314407,0.018561750650405884
869,regret_late,1.334608554840088,1.3364311456680298
778,regret_late,1.8644846677780151,1.6391524076461792
842,regret_late,0.08932507038116455,0.0678814947605133
766,regret_late,0.042685616761446,0.030243797227740288
844,regret_late,0.018479513004422188,0.014007088728249073
776,regret_late,0.35546621680259705,0.256894052028656
867,regret_late,0.04290033131837845,0.0309595949947834
821,regret_late,0.2202528864145279,0.1655333936214447
871,regret_late,0.3492134213447571,0.26446399092674255
838,regret_late,0.05731223523616791,0.04345501959323883
854,regret_late,2.3880677223205566,2.4624526500701904
802,regret_late,0.08622949570417404,0.07513552159070969
827,regret_late,0.0152512788772583,0.012277642264962196
849,regret_late,0.04495622590184212,0.029330039396882057
856,regret_late,0.5931134223937988,0.4144967198371887
797,regret_late,1.2572766542434692,1.066818356513977
804,regret_late,0.8125540614128113,0.7869856357574463
752,regret_late,3.886425495147705,3.795492172241211
861,regret_late,1.4079426527023315,1.4595118761062622
817,regret_late,0.10581063479185104,0.08632493019104004
858,regret_late,0.027401097118854523,0.020410683006048203
840,regret_late,0.03043624944984913,0.0215917881578207
774,regret_late,0.21842999756336212,0.1884153187274933
819,regret_late,0.06491713225841522,0.04341154545545578
807,regret_late,0.02900606021285057,0.01873927190899849
829,regret_late,0.008341796696186066,0.004725256469100714
