participant,omega,tau,nll_by_condition
860,0.06313257664442062,0.22965803742408752,{'regret_late': 53.638126373291016}
835,0.062281154096126556,0.08584875613451004,{'regret_late': 15.729084968566895}
753,1.998160481452942,1.7411421537399292,{'regret_late': 66.36504364013672}
833,0.16591870784759521,0.5141038298606873,{'regret_late': 64.26770782470703}
841,0.042130280286073685,0.15758953988552094,{'regret_late': 50.60658645629883}
806,2.1818995475769043,0.22401075065135956,{'regret_late': 55.14454650878906}
811,0.04373791813850403,0.08210667967796326,{'regret_late': 30.326879501342773}
823,0.11035891622304916,0.11181936413049698,{'regret_late': 36.87025451660156}
764,0.053855642676353455,0.4383385479450226,{'regret_late': 61.48894119262695}
863,0.056238241493701935,0.03738018125295639,{'regret_late': 2.0110206604003906}
780,0.052466463297605515,0.2485807090997696,{'regret_late': 58.455902099609375}
770,0.025457371026277542,1.1684393882751465,{'regret_late': 65.5573959350586}
795,0.041806481778621674,0.13118328154087067,{'regret_late': 25.07724952697754}
813,0.34533053636550903,0.06853977590799332,{'regret_late': 31.836284637451172}
758,0.05281292647123337,0.22560840845108032,{'regret_late': 43.5624885559082}
786,0.17863774299621582,0.11954962462186813,{'regret_late': 42.24962615966797}
831,0.28600069880485535,0.12120175361633301,{'regret_late': 36.11650085449219}
800,0.0628032386302948,0.23035305738449097,{'regret_late': 56.858245849609375}
762,0.09689692407846451,0.11022032052278519,{'regret_late': 35.70733642578125}
815,0.03580572083592415,0.054583482444286346,{'regret_late': 29.801767349243164}
875,0.06039153411984444,0.14725333452224731,{'regret_late': 23.428749084472656}
869,2.510528802871704,0.2685583829879761,{'regret_late': 60.07928466796875}
778,0.035407036542892456,0.6784061193466187,{'regret_late': 62.65922546386719}
842,0.8571605086326599,0.044504448771476746,{'regret_late': 26.554746627807617}
766,0.1014881506562233,0.09314702451229095,{'regret_late': 10.12839126586914}
844,0.023139633238315582,0.32667776942253113,{'regret_late': 61.52861785888672}
776,4.318000793457031,1.9257935285568237,{'regret_late': 66.23204803466797}
867,0.05503144487738609,0.0982661321759224,{'regret_late': 34.21877670288086}
821,0.3964541256427765,0.0832943543791771,{'regret_late': 46.8038215637207}
871,0.2640967071056366,0.21712946891784668,{'regret_late': 56.16562271118164}
838,0.1050056740641594,0.19531290233135223,{'regret_late': 38.17110824584961}
854,0.041126444935798645,0.37334394454956055,{'regret_late': 63.39729690551758}
802,0.5093557238578796,0.15147531032562256,{'regret_late': 55.65017318725586}
827,0.03798145428299904,0.08217109739780426,{'regret_late': 24.603015899658203}
849,0.03826130926609039,0.25608211755752563,{'regret_late': 53.751930236816406}
856,2.362945795059204,1.3656654357910156,{'regret_late': 65.5254898071289}
797,1.1876904964447021,0.20019736886024475,{'regret_late': 46.53915023803711}
804,0.04291535168886185,0.5450825691223145,{'regret_late': 61.60174560546875}
752,3.1428377628326416,0.13266588747501373,{'regret_late': 56.65438461303711}
861,4.167155742645264,0.3331349790096283,{'regret_late': 62.33726119995117}
817,2.7737152576446533,0.08017351478338242,{'regret_late': 35.36651611328125}
858,0.12704311311244965,0.2403120994567871,{'regret_late': 54.39210510253906}
840,0.10325833410024643,0.16775037348270416,{'regret_late': 39.67056655883789}
774,0.10589566081762314,0.17691045999526978,{'regret_late': 43.51774597167969}
819,0.03743467107415199,0.16947844624519348,{'regret_late': 50.425437927246094}
807,0.01293416228145361,0.08117707818746567,{'regret_late': 51.860111236572266}
829,0.03231417387723923,0.09665118902921677,{'regret_late': 35.176605224609375}
792,0.04392968863248825,0.10538870096206665,{'regret_late': 30.387359619140625}
782,0.043038129806518555,0.15249665081501007,{'regret_late': 32.18941116333008}
873,0.0438946895301342,0.3388929069042206,{'regret_late': 57.94225311279297}
852,0.09103990346193314,0.09734626859426498,{'regret_late': 22.691335678100586}
865,0.06889573484659195,0.26386043429374695,{'regret_late': 51.84962463378906}
772,0.07843846827745438,0.10206947475671768,{'regret_late': 11.62228012084961}
768,2.5216054916381836,0.7529650330543518,{'regret_late': 64.86553955078125}
846,0.4724450409412384,0.5345567464828491,{'regret_late': 63.978668212890625}
880,0.5,0.08336444944143295,{'control': 23.043954849243164}
898,0.5,0.661737859249115,{'control': 63.924842834472656}
941,0.5,0.10338085144758224,{'control': 41.022865295410156}
942,0.5,0.09006798267364502,{'control': 38.2315673828125}
924,0.5,0.29855668544769287,{'control': 54.84239959716797}
940,0.5,0.24782830476760864,{'control': 48.590518951416016}
906,0.5,0.25563302636146545,{'control': 55.4705810546875}
912,0.5,0.1524779349565506,{'control': 28.64130210876465}
916,0.5,0.05189312994480133,{'control': 17.699634552001953}
939,0.5,0.43940192461013794,{'control': 62.931968688964844}
900,0.5,0.39662885665893555,{'control': 63.830501556396484}
894,0.5,0.3428081274032593,{'control': 63.247047424316406}
935,0.5,0.5846842527389526,{'control': 60.27672576904297}
918,0.5,0.0528186559677124,{'control': 5.129889965057373}
910,0.5,0.1790812611579895,{'control': 47.96112060546875}
886,0.5,0.4281593859195709,{'control': 61.83662796020508}
927,0.5,0.1509447991847992,{'control': 37.78681564331055}
913,0.5,0.20556695759296417,{'control': 43.02875518798828}
917,0.5,0.03532418608665466,{'control': 2.725501298904419}
911,0.5,0.026102140545845032,{'control': 1.2820429801940918}
885,0.5,0.04836026951670647,{'control': 1.9883054494857788}
938,0.5,0.14422659575939178,{'control': 38.658409118652344}
931,0.5,0.3713821470737457,{'control': 60.81541061401367}
926,0.5,0.03913867846131325,{'control': 7.430128574371338}
923,0.5,0.13223154842853546,{'control': 29.583467483520508}
932,0.5,0.10419963300228119,{'control': 32.92902374267578}
899,0.5,0.08585552126169205,{'control': 31.774307250976562}
905,0.5,0.13877853751182556,{'control': 39.7766227722168}
897,0.5,0.6372060179710388,{'control': 62.56252670288086}
888,0.5,0.03789597004652023,{'control': 1.3769912719726562}
920,0.5,0.31380409002304077,{'control': 61.964073181152344}
903,0.5,0.24334850907325745,{'control': 52.758243560791016}
915,0.5,0.07259079813957214,{'control': 6.023062705993652}
934,0.5,0.29819393157958984,{'control': 57.35790252685547}
