"","workerid","condition","final_points","avg_regret","total_expected_value"
"1",860,"regret_late",31,49.7333333333333,35.4
"2",835,"regret_late",45,9.2,40.9
"3",753,"regret_late",31,99.9285714285714,29
"4",833,"regret_late",30,68.6470588235294,31.3
"5",841,"regret_late",37,18.6666666666667,33.9
"6",806,"regret_late",36,47.5555555555556,33
"7",811,"regret_late",36,49.25,35.3
"8",823,"regret_late",28,48.75,36
"9",764,"regret_late",34,95.4615384615385,32.5
"10",863,"regret_late",45,0,41.5
"11",780,"regret_late",32,54.8,33.4
"12",770,"regret_late",31,40.1764705882353,30
"13",795,"regret_late",35,60.6,39.8
"14",813,"regret_late",38,31.9090909090909,36.6
"15",758,"regret_late",45,65,35.9
"16",786,"regret_late",34,43.0833333333333,35.9
"17",831,"regret_late",34,14.4166666666667,36.3
"18",800,"regret_late",31,60.7647058823529,32.4
"19",762,"regret_late",46,28.1666666666667,37.3
"20",815,"regret_late",34,78.0909090909091,37.5
"21",875,"regret_late",43,46,39.1
"22",869,"regret_late",29,95.25,32.3
"23",778,"regret_late",36,95,31.6
"24",842,"regret_late",38,67.6666666666667,37.2
"25",766,"regret_late",46,20.6666666666667,39.5
"26",844,"regret_late",21,40.8095238095238,26.7
"27",776,"regret_late",25,18.2666666666667,25.8
"28",867,"regret_late",37,66.3,36.5
"29",821,"regret_late",27,52.6875,31.9
"30",871,"regret_late",36,88,34.2
"31",838,"regret_late",39,21.5384615384615,38.4
"32",854,"regret_late",33,49.9285714285714,30.7
"33",802,"regret_late",29,67.1538461538462,31.5
"34",827,"regret_late",38,0,40.1
"35",849,"regret_late",35,38.5,32
"36",856,"regret_late",25,97.5294117647059,29
"37",797,"regret_late",40,44.0909090909091,36.2
"38",804,"regret_late",29,88.2857142857143,32.4
"39",752,"regret_late",36,67.7142857142857,32.5
"40",861,"regret_late",21,0,27
"41",817,"regret_late",42,0,37.9
"42",858,"regret_late",29,7,34.1
"43",840,"regret_late",37,75.9230769230769,38.1
"44",774,"regret_late",41,38.6,37.1
"45",819,"regret_late",34,64.2307692307692,36.5
"46",807,"regret_late",37,43.7272727272727,33.3
"47",829,"regret_late",29,68.7333333333333,36.1
"48",792,"regret_late",43,13,37.8
"49",782,"regret_late",40,53.875,36.9
"50",873,"regret_late",30,72.875,33.2
"51",852,"regret_late",40,20,36.7
"52",865,"regret_late",31,72.0625,35.4
"53",772,"regret_late",42,15.3333333333333,40.6
"54",768,"regret_late",20,97.5263157894737,28.3
"55",846,"regret_late",36,36.5,30.3
"56",880,"control",36,NA,38
"57",898,"control",33,NA,30.3
"58",941,"control",40,NA,36.3
"59",942,"control",36,NA,36.8
"60",924,"control",36,NA,34.1
"61",940,"control",32,NA,35
"62",906,"control",41,NA,33.9
"63",912,"control",36,NA,38.3
"64",916,"control",41,NA,38.7
"65",939,"control",33,NA,28.2
"66",900,"control",30,NA,29.4
"67",894,"control",37,NA,32.7
"68",935,"control",29,NA,31.8
"69",918,"control",40,NA,41.3
"70",910,"control",38,NA,36.3
"71",886,"control",27,NA,32.2
"72",927,"control",38,NA,37.8
"73",913,"control",33,NA,36.7
"74",917,"control",40,NA,41.1
"75",911,"control",41,NA,42
"76",885,"control",40,NA,41.3
"77",938,"control",34,NA,36.1
"78",931,"control",30,NA,31.8
"79",926,"control",35,NA,40.8
"80",923,"control",34,NA,37.8
"81",932,"control",42,NA,37.3
"82",899,"control",35,NA,39.6
"83",905,"control",37,NA,37.8
"84",897,"control",35,NA,31.5
"85",888,"control",47,NA,42
"86",920,"control",25,NA,29.6
"87",903,"control",38,NA,34.8
"88",915,"control",42,NA,41.3
"89",934,"control",31,NA,32
"90",893,"control",30,NA,30.2
"91",929,"control",41,NA,37.6
"92",881,"control",42,NA,42
"93",922,"control",26,NA,31.3
"94",925,"control",34,NA,33.4
"95",907,"control",34,NA,35.2
"96",882,"control",41,NA,37.7
"97",930,"control",37,NA,35.6
"98",943,"control",32,NA,30.1
"99",892,"control",38,NA,36.2
"100",933,"control",40,NA,37.2
"101",914,"control",27,NA,28.7
"102",890,"control",31,NA,30.4
"103",887,"control",36,NA,36.7
"104",901,"control",39,NA,36.3
"105",944,"control",36,NA,34.3
"106",937,"control",41,NA,34.6
"107",896,"control",43,NA,41.3
"108",909,"control",34,NA,32.7
"109",884,"control",29,NA,30.9
"110",936,"control",37,NA,37
"111",908,"control",27,NA,30.5
"112",785,"regret_early",31,50.7058823529412,30.1
"113",775,"regret_early",41,24.9,37.8
"114",822,"regret_early",33,25.8125,30.8
"115",839,"regret_early",29,99.9444444444444,31.3
"116",761,"regret_early",39,64,34.2
"117",809,"regret_early",39,70.5,37.1
"118",791,"regret_early",36,36,36.7
"119",857,"regret_early",36,64.0909090909091,32.2
"120",763,"regret_early",31,99.4666666666667,31.2
"121",877,"regret_early",36,66.6666666666667,32.2
"122",796,"regret_early",32,59.4666666666667,34.5
"123",799,"regret_early",31,58.9375,34.1
"124",793,"regret_early",34,88.1666666666667,35
"125",853,"regret_early",38,56.7777777777778,37.5
"126",812,"regret_early",34,95.0666666666667,33.4
"127",801,"regret_early",31,90.5,35
"128",832,"regret_early",35,65.8125,38.9
"129",859,"regret_early",32,29.8235294117647,34.3
"130",845,"regret_early",41,61.3333333333333,40.1
"131",769,"regret_early",37,34.75,35.4
"132",814,"regret_early",33,99.9333333333333,35
"133",864,"regret_early",32,85.4285714285714,34.8
"134",759,"regret_early",38,61.8333333333333,34.4
"135",836,"regret_early",30,38.8461538461538,32.1
"136",779,"regret_early",28,100,29.8
"137",773,"regret_early",33,99.5454545454545,36.1
"138",870,"regret_early",28,97.0588235294118,29.2
"139",868,"regret_early",34,65.8461538461538,35.2
"140",767,"regret_early",32,100,32.9
"141",830,"regret_early",34,39.4285714285714,33.9
"142",771,"regret_early",41,63.5,37
"143",777,"regret_early",33,45.5,38.8
"144",872,"regret_early",32,57.2352941176471,35.6
"145",803,"regret_early",30,75.1111111111111,29.7
"146",783,"regret_early",35,38.1875,36.9
"147",866,"regret_early",32,0.076923076923077,30.5
"148",855,"regret_early",30,98.5,29.8
"149",876,"regret_early",32,80.3846153846154,33.6
"150",754,"regret_early",40,61.2142857142857,38.6
"151",755,"regret_early",36,49.4545454545455,40.6
"152",850,"regret_early",30,55.2631578947368,32.8
"153",828,"regret_early",28,100,27.2
"154",820,"regret_early",39,27.2,33
"155",818,"regret_early",31,71.9411764705882,33.8
"156",787,"regret_early",42,13.7777777777778,42
"157",843,"regret_early",32,40.4117647058824,31.1
"158",848,"regret_early",33,33.0833333333333,35
"159",805,"regret_early",33,90.125,31.7
"160",874,"regret_early",27,17.7894736842105,31.8
"161",765,"regret_early",38,22.6,35.1
"162",789,"regret_early",28,54.4666666666667,26.8
"163",826,"regret_early",31,61.7142857142857,32
"164",757,"regret_early",37,100,34.9
"165",701,"regret_early",30,60,31.7
"166",737,"regret_early",31,NA,33.7
"167",719,"regret_early",28,11.3529411764706,34.9
"168",728,"regret_early",32,96.75,34.5
"169",713,"regret_early",33,51.8666666666667,30.6
"170",710,"regret_early",35,49.875,29.6
"171",716,"regret_early",31,81.1875,31.2
"172",738,"regret_late",40,100,33.6
"173",711,"regret_late",40,55.5,33.7
"174",717,"regret_late",41,80.2222222222222,40.3
"175",744,"regret_late",41,26.8,40.5
"176",714,"regret_late",42,53.6,35.4
