"","workerid","trial_index","points","choice","choice_goodbad","condition","source","final_points","expected_value","total_expected_value"
"1",860,1,1,1,"best","regret_late","data",31,0.7,35.4
"2",860,2,1,1,"best","regret_late","data",31,0.7,35.4
"3",860,3,1,1,"best","regret_late","data",31,0.7,35.4
"4",860,4,1,1,"best","regret_late","data",31,0.7,35.4
"5",860,5,1,1,"best","regret_late","data",31,0.7,35.4
"6",860,6,0,1,"best","regret_late","data",31,0.7,35.4
"7",860,7,1,0,"medium","regret_late","data",31,0.5,35.4
"8",860,8,0,0,"medium","regret_late","data",31,0.5,35.4
"9",860,9,0,0,"medium","regret_late","data",31,0.5,35.4
"10",860,10,0,0,"medium","regret_late","data",31,0.5,35.4
"11",860,11,0,2,"worst","regret_late","data",31,0.2,35.4
"12",860,12,0,2,"worst","regret_late","data",31,0.2,35.4
"13",860,13,0,1,"best","regret_late","data",31,0.7,35.4
"14",860,14,1,1,"best","regret_late","data",31,0.7,35.4
"15",860,15,1,1,"best","regret_late","data",31,0.7,35.4
"16",860,16,1,1,"best","regret_late","data",31,0.7,35.4
"17",860,17,1,1,"best","regret_late","data",31,0.7,35.4
"18",860,18,0,1,"best","regret_late","data",31,0.7,35.4
"19",860,19,0,1,"best","regret_late","data",31,0.7,35.4
"20",860,20,1,0,"medium","regret_late","data",31,0.5,35.4
"21",860,21,0,2,"worst","regret_late","data",31,0.2,35.4
"22",860,22,1,1,"best","regret_late","data",31,0.7,35.4
"23",860,23,0,1,"best","regret_late","data",31,0.7,35.4
"24",860,24,0,1,"best","regret_late","data",31,0.7,35.4
"25",860,25,1,1,"best","regret_late","data",31,0.7,35.4
"26",860,26,1,1,"best","regret_late","data",31,0.7,35.4
"27",860,27,1,0,"medium","regret_late","data",31,0.5,35.4
"28",860,28,1,2,"worst","regret_late","data",31,0.2,35.4
"29",860,29,0,1,"best","regret_late","data",31,0.7,35.4
"30",860,30,0,1,"best","regret_late","data",31,0.7,35.4
"31",860,31,1,1,"best","regret_late","data",31,0.7,35.4
"32",860,32,1,1,"best","regret_late","data",31,0.7,35.4
"33",860,33,0,1,"best","regret_late","data",31,0.7,35.4
"34",860,34,1,1,"best","regret_late","data",31,0.7,35.4
"35",860,35,1,0,"medium","regret_late","data",31,0.5,35.4
"36",860,36,1,0,"medium","regret_late","data",31,0.5,35.4
"37",860,37,0,2,"worst","regret_late","data",31,0.2,35.4
"38",860,38,1,1,"best","regret_late","data",31,0.7,35.4
"39",860,39,1,1,"best","regret_late","data",31,0.7,35.4
"40",860,40,1,1,"best","regret_late","data",31,0.7,35.4
"41",860,41,0,0,"medium","regret_late","data",31,0.5,35.4
"42",860,42,0,0,"medium","regret_late","data",31,0.5,35.4
"43",860,43,0,2,"worst","regret_late","data",31,0.2,35.4
"44",860,44,0,2,"worst","regret_late","data",31,0.2,35.4
"45",860,45,0,1,"best","regret_late","data",31,0.7,35.4
"46",860,46,1,1,"best","regret_late","data",31,0.7,35.4
"47",860,47,1,1,"best","regret_late","data",31,0.7,35.4
"48",860,48,0,1,"best","regret_late","data",31,0.7,35.4
"49",860,49,0,0,"medium","regret_late","data",31,0.5,35.4
"50",860,50,0,2,"worst","regret_late","data",31,0.2,35.4
"51",860,51,1,1,"best","regret_late","data",31,0.7,35.4
"52",860,52,0,1,"best","regret_late","data",31,0.7,35.4
"53",860,53,1,0,"medium","regret_late","data",31,0.5,35.4
"54",860,54,0,0,"medium","regret_late","data",31,0.5,35.4
"55",860,55,1,1,"best","regret_late","data",31,0.7,35.4
"56",860,56,1,1,"best","regret_late","data",31,0.7,35.4
"57",860,57,0,1,"best","regret_late","data",31,0.7,35.4
"58",860,58,0,1,"best","regret_late","data",31,0.7,35.4
"59",860,59,1,1,"best","regret_late","data",31,0.7,35.4
"60",860,60,0,1,"best","regret_late","data",31,0.7,35.4
"61",835,1,1,2,"best","regret_late","data",45,0.7,40.9
"62",835,2,1,2,"best","regret_late","data",45,0.7,40.9
"63",835,3,1,2,"best","regret_late","data",45,0.7,40.9
"64",835,4,0,2,"best","regret_late","data",45,0.7,40.9
"65",835,5,1,2,"best","regret_late","data",45,0.7,40.9
"66",835,6,1,2,"best","regret_late","data",45,0.7,40.9
"67",835,7,1,2,"best","regret_late","data",45,0.7,40.9
"68",835,8,1,2,"best","regret_late","data",45,0.7,40.9
"69",835,9,0,2,"best","regret_late","data",45,0.7,40.9
"70",835,10,1,2,"best","regret_late","data",45,0.7,40.9
"71",835,11,1,2,"best","regret_late","data",45,0.7,40.9
"72",835,12,1,2,"best","regret_late","data",45,0.7,40.9
"73",835,13,0,2,"best","regret_late","data",45,0.7,40.9
"74",835,14,1,2,"best","regret_late","data",45,0.7,40.9
"75",835,15,1,2,"best","regret_late","data",45,0.7,40.9
"76",835,16,1,2,"best","regret_late","data",45,0.7,40.9
"77",835,17,1,1,"medium","regret_late","data",45,0.5,40.9
"78",835,18,0,1,"medium","regret_late","data",45,0.5,40.9
"79",835,19,0,1,"medium","regret_late","data",45,0.5,40.9
"80",835,20,0,2,"best","regret_late","data",45,0.7,40.9
"81",835,21,1,2,"best","regret_late","data",45,0.7,40.9
"82",835,22,1,2,"best","regret_late","data",45,0.7,40.9
"83",835,23,1,2,"best","regret_late","data",45,0.7,40.9
"84",835,24,0,0,"worst","regret_late","data",45,0.2,40.9
"85",835,25,1,2,"best","regret_late","data",45,0.7,40.9
"86",835,26,0,2,"best","regret_late","data",45,0.7,40.9
"87",835,27,1,2,"best","regret_late","data",45,0.7,40.9
"88",835,28,0,2,"best","regret_late","data",45,0.7,40.9
"89",835,29,0,2,"best","regret_late","data",45,0.7,40.9
"90",835,30,1,2,"best","regret_late","data",45,0.7,40.9
"91",835,31,1,2,"best","regret_late","data",45,0.7,40.9
"92",835,32,0,2,"best","regret_late","data",45,0.7,40.9
"93",835,33,1,2,"best","regret_late","data",45,0.7,40.9
"94",835,34,1,2,"best","regret_late","data",45,0.7,40.9
"95",835,35,1,2,"best","regret_late","data",45,0.7,40.9
"96",835,36,1,2,"best","regret_late","data",45,0.7,40.9
"97",835,37,1,2,"best","regret_late","data",45,0.7,40.9
"98",835,38,1,2,"best","regret_late","data",45,0.7,40.9
"99",835,39,1,2,"best","regret_late","data",45,0.7,40.9
"100",835,40,1,2,"best","regret_late","data",45,0.7,40.9
"101",835,41,1,2,"best","regret_late","data",45,0.7,40.9
"102",835,42,0,2,"best","regret_late","data",45,0.7,40.9
"103",835,43,0,2,"best","regret_late","data",45,0.7,40.9
"104",835,44,1,2,"best","regret_late","data",45,0.7,40.9
"105",835,45,1,2,"best","regret_late","data",45,0.7,40.9
"106",835,46,0,2,"best","regret_late","data",45,0.7,40.9
"107",835,47,1,2,"best","regret_late","data",45,0.7,40.9
"108",835,48,1,2,"best","regret_late","data",45,0.7,40.9
"109",835,49,1,2,"best","regret_late","data",45,0.7,40.9
"110",835,50,1,2,"best","regret_late","data",45,0.7,40.9
"111",835,51,1,2,"best","regret_late","data",45,0.7,40.9
"112",835,52,1,2,"best","regret_late","data",45,0.7,40.9
"113",835,53,1,2,"best","regret_late","data",45,0.7,40.9
"114",835,54,1,2,"best","regret_late","data",45,0.7,40.9
"115",835,55,1,2,"best","regret_late","data",45,0.7,40.9
"116",835,56,1,2,"best","regret_late","data",45,0.7,40.9
"117",835,57,0,2,"best","regret_late","data",45,0.7,40.9
"118",835,58,1,2,"best","regret_late","data",45,0.7,40.9
"119",835,59,1,2,"best","regret_late","data",45,0.7,40.9
"120",835,60,1,2,"best","regret_late","data",45,0.7,40.9
"121",753,1,1,0,"best","regret_late","data",31,0.7,29
"122",753,2,1,1,"medium","regret_late","data",31,0.5,29
"123",753,3,0,2,"worst","regret_late","data",31,0.2,29
"124",753,4,1,0,"best","regret_late","data",31,0.7,29
"125",753,5,0,1,"medium","regret_late","data",31,0.5,29
"126",753,6,0,0,"best","regret_late","data",31,0.7,29
"127",753,7,0,2,"worst","regret_late","data",31,0.2,29
"128",753,8,0,1,"medium","regret_late","data",31,0.5,29
"129",753,9,1,0,"best","regret_late","data",31,0.7,29
"130",753,10,0,1,"medium","regret_late","data",31,0.5,29
"131",753,11,0,2,"worst","regret_late","data",31,0.2,29
"132",753,12,1,0,"best","regret_late","data",31,0.7,29
"133",753,13,0,1,"medium","regret_late","data",31,0.5,29
"134",753,14,1,2,"worst","regret_late","data",31,0.2,29
"135",753,15,1,0,"best","regret_late","data",31,0.7,29
"136",753,16,1,1,"medium","regret_late","data",31,0.5,29
"137",753,17,1,2,"worst","regret_late","data",31,0.2,29
"138",753,18,1,0,"best","regret_late","data",31,0.7,29
"139",753,19,0,1,"medium","regret_late","data",31,0.5,29
"140",753,20,0,2,"worst","regret_late","data",31,0.2,29
"141",753,21,1,0,"best","regret_late","data",31,0.7,29
"142",753,22,0,1,"medium","regret_late","data",31,0.5,29
"143",753,23,0,2,"worst","regret_late","data",31,0.2,29
"144",753,24,1,0,"best","regret_late","data",31,0.7,29
"145",753,25,0,1,"medium","regret_late","data",31,0.5,29
"146",753,26,0,2,"worst","regret_late","data",31,0.2,29
"147",753,27,1,0,"best","regret_late","data",31,0.7,29
"148",753,28,1,1,"medium","regret_late","data",31,0.5,29
"149",753,29,0,2,"worst","regret_late","data",31,0.2,29
"150",753,30,1,1,"medium","regret_late","data",31,0.5,29
"151",753,31,0,1,"medium","regret_late","data",31,0.5,29
"152",753,32,1,0,"best","regret_late","data",31,0.7,29
"153",753,33,0,0,"best","regret_late","data",31,0.7,29
"154",753,34,1,1,"medium","regret_late","data",31,0.5,29
"155",753,35,0,2,"worst","regret_late","data",31,0.2,29
"156",753,36,0,1,"medium","regret_late","data",31,0.5,29
"157",753,37,1,1,"medium","regret_late","data",31,0.5,29
"158",753,38,0,0,"best","regret_late","data",31,0.7,29
"159",753,39,1,2,"worst","regret_late","data",31,0.2,29
"160",753,40,0,1,"medium","regret_late","data",31,0.5,29
"161",753,41,1,0,"best","regret_late","data",31,0.7,29
"162",753,42,0,1,"medium","regret_late","data",31,0.5,29
"163",753,43,1,1,"medium","regret_late","data",31,0.5,29
"164",753,44,1,2,"worst","regret_late","data",31,0.2,29
"165",753,45,1,0,"best","regret_late","data",31,0.7,29
"166",753,46,1,1,"medium","regret_late","data",31,0.5,29
"167",753,47,0,2,"worst","regret_late","data",31,0.2,29
"168",753,48,0,1,"medium","regret_late","data",31,0.5,29
"169",753,49,1,0,"best","regret_late","data",31,0.7,29
"170",753,50,1,1,"medium","regret_late","data",31,0.5,29
"171",753,51,0,2,"worst","regret_late","data",31,0.2,29
"172",753,52,0,1,"medium","regret_late","data",31,0.5,29
"173",753,53,1,0,"best","regret_late","data",31,0.7,29
"174",753,54,1,1,"medium","regret_late","data",31,0.5,29
"175",753,55,0,2,"worst","regret_late","data",31,0.2,29
"176",753,56,1,0,"best","regret_late","data",31,0.7,29
"177",753,57,0,1,"medium","regret_late","data",31,0.5,29
"178",753,58,1,0,"best","regret_late","data",31,0.7,29
"179",753,59,1,1,"medium","regret_late","data",31,0.5,29
"180",753,60,0,2,"worst","regret_late","data",31,0.2,29
"181",833,1,0,0,"medium","regret_late","data",30,0.5,31.3
"182",833,2,1,0,"medium","regret_late","data",30,0.5,31.3
"183",833,3,0,0,"medium","regret_late","data",30,0.5,31.3
"184",833,4,0,1,"best","regret_late","data",30,0.7,31.3
